cost_x	cost_y	X0	Y0	Rel_dens
0.001	0.01	0.4	0.3	6.5023201127994795e9
0.001	0.01	0.4	0.4	5.822023470239134e9
0.001	0.01	0.4	0.5	4.720640659077128e9
0.001	0.01	0.4	0.6	3.208611687827718e9
0.001	0.01	0.4	0.7	1.1434931616369386e9
0.001	0.01	0.4	0.8	4.6210346234467316e8
0.001	0.01	0.4	0.9	1.8295008348847532e8
0.001	0.01	0.4	1.0	3.3818804077471256e7
0.001	0.01	0.5	0.0	6.026390128053134e9
0.001	0.01	0.5	0.1	6.825146245429697e9
0.001	0.01	0.5	0.2	7.172240235154034e9
0.001	0.01	0.5	0.3	7.155815461778305e9
0.001	0.01	0.5	0.4	6.801515601196762e9
0.001	0.01	0.5	0.5	6.137606210633745e9
