X0	Y0	Rel_dens
0.4	4.5	-5.538073545455341e8
0.4	4.6	-5.542580826034088e8
0.4	4.7	-5.473502308190937e8
0.4	4.8	-5.494470328522377e8
0.4	4.9	-5.510984675206013e8
0.4	5.0	-5.522965356892567e8
0.4	5.1	-5.530346967968216e8
0.4	5.2	-5.533075177084103e8
0.4	5.3	-5.467731157566414e8
0.4	5.4	-5.487171828300018e8
0.4	5.5	-5.50258509631567e8
0.4	5.6	-5.513908405370579e8
0.4	5.7	-5.521089233708992e8
0.4	5.8	-5.524085952995529e8
0.4	5.9	-5.449587297333469e8
0.4	6.0	-5.469662698609715e8
0.4	6.1	-5.486183357035675e8
0.4	6.2	-5.499097962592163e8
0.4	6.3	-5.508360555876637e8
0.4	6.4	-5.51393530859251e8
0.4	6.5	-5.515794877428112e8
0.4	6.6	-5.442053326224213e8
0.4	6.7	-5.461007379376698e8
0.4	6.8	-5.476816831308289e8
0.4	6.9	-5.489440976052456e8
0.4	7.0	-5.498846519240017e8
0.4	7.1	-5.505004278984928e8
0.4	7.2	-5.507892219683609e8
0.4	7.3	-5.422888413930378e8
0.4	7.4	-5.442438489143639e8
0.4	7.5	-5.459243393288116e8
0.4	7.6	-5.473265520103054e8
0.4	7.7	-5.484478068762608e8
0.4	7.8	-5.492852934833183e8
0.4	7.9	-5.498370837452888e8
0.4	8.0	-5.501016350249977e8
0.4	8.1	-5.411806292265053e8
0.4	8.2	-5.430798927786407e8
0.4	8.3	-5.447388694020958e8
0.4	8.4	-5.461547719194927e8
0.4	8.5	-5.473251052724705e8
0.4	8.6	-5.482478594900665e8
0.4	8.7	-5.489213997459946e8
0.4	8.8	-5.493444528322849e8
0.4	8.9	-5.495161208424797e8
0.4	9.0	-5.400325345478973e8
0.4	9.1	-5.418651860460186e8
0.4	9.2	-5.434915745530663e8
0.4	9.3	-5.449095300670547e8
0.4	9.4	-5.461172689472637e8
0.4	9.5	-5.471132221121998e8
0.4	9.6	-5.478961037051964e8
0.4	9.7	-5.484649195023746e8
0.4	9.8	-5.488189487003841e8
0.4	9.9	-5.489573955386124e8
0.4	10.0	-5.386205549124794e8
0.5	0.0	-8.341250891205682e8
0.5	0.1	-3.0527528993322372e7
0.5	0.2	-1.1281372138891816e8
0.5	0.3	-1.8184547406695676e8
0.5	0.4	-1.6067689573262382e8
0.5	0.5	-1.866771228894615e7
0.5	0.6	-2.128892625765996e8
